filename,method,predicted_narrowing,prediction_detail,confidence,true_label,narrowing_ratio,max_width_drop,focal_narrowing_count,vessel_density,vessel_irregularity
retinal_image_0000.jpg,strict,0,No Narrowing,0.8,0,0.033940169,0.139283934,1,0.031611965,0.099361196
retinal_image_0001.jpg,strict,0,No Narrowing,0.8,0,0.176824443,0.158281855,0,0.018137121,0.290750709
retinal_image_0002.jpg,strict,0,No Narrowing,0.8,0,0.058822781,0.405055479,0,0.04852245,0.116324305
retinal_image_0003.jpg,strict,0,No Narrowing,0.8,0,0.122630624,0.325996032,1,0.008625881,0.653491567
retinal_image_0004.jpg,strict,0,No Narrowing,0.8,0,0.149378826,0.400340871,1,0.017309674,0.090626758
retinal_image_0005.jpg,strict,0,No Narrowing,0.8,0,0.029463477,0.384007294,1,0.033750205,0.15509637
retinal_image_0006.jpg,strict,0,No Narrowing,0.8,0,0.142634881,0.713646375,0,0.035107249,0.128948212
retinal_image_0007.jpg,strict,0,No Narrowing,0.8,0,0.342692002,0.291433061,1,0.027070475,0.127447136
retinal_image_0008.jpg,strict,0,No Narrowing,0.8,0,0.057339172,0.590307074,2,0.022352335,0.309403139
retinal_image_0009.jpg,strict,0,No Narrowing,0.8,0,0.006385847,0.755710973,0,0.064388065,0.080927086
retinal_image_0010.jpg,strict,0,No Narrowing,0.8,0,0.159828085,0.361561511,3,0.027448806,0.141386905
retinal_image_0011.jpg,strict,0,No Narrowing,0.8,0,0.045587654,0.465141472,0,0.01034415,0.056197287
retinal_image_0012.jpg,strict,0,No Narrowing,0.8,0,0.074478822,0.045158361,2,0.01410296,0.10657144
retinal_image_0013.jpg,strict,0,Mild Narrowing,0.8,0,0.193114699,0.368574364,3,0.011319746,0.13549479
retinal_image_0014.jpg,strict,0,No Narrowing,0.8,0,0.057446428,0.105712187,1,0.035341815,0.305844344
retinal_image_0015.jpg,strict,0,No Narrowing,0.8,0,0.41741652,0.212326679,2,0.040959092,0.391662894
retinal_image_0016.jpg,strict,0,No Narrowing,0.8,0,0.086924357,0.163219465,1,0.02683789,0.157022039
retinal_image_0017.jpg,strict,0,No Narrowing,0.8,0,0.008076579,0.273447318,2,0.025686707,0.427459177
retinal_image_0018.jpg,strict,0,No Narrowing,0.8,0,0.433387978,0.363729543,0,0.048185342,0.043028145
retinal_image_0019.jpg,strict,0,No Narrowing,0.8,0,0.067794431,0.280429163,0,0.023473409,0.085167338
retinal_image_0020.jpg,strict,0,No Narrowing,0.8,0,0.014743665,0.27450554,0,0.022492151,0.0864226
retinal_image_0021.jpg,strict,0,No Narrowing,0.8,0,0.163452744,0.092409636,1,0.024432608,0.368787054
retinal_image_0022.jpg,strict,0,No Narrowing,0.8,0,0.165549109,0.324932617,3,0.026072189,0.181770714
retinal_image_0023.jpg,strict,0,No Narrowing,0.8,0,0.177851881,0.266806209,0,0.031318369,0.060721126
retinal_image_0024.jpg,strict,0,No Narrowing,0.8,0,0.02332193,0.120506082,0,0.026867647,0.204697672
retinal_image_0025.jpg,strict,0,No Narrowing,0.8,0,0.089197687,0.152074715,1,0.060403959,0.130905151
retinal_image_0026.jpg,strict,0,No Narrowing,0.8,0,0.079899691,0.18597307,2,0.034978008,0.199561447
retinal_image_0027.jpg,strict,0,No Narrowing,0.8,0,0.19452068,0.480185537,3,0.069288022,0.026688193
retinal_image_0028.jpg,strict,0,No Narrowing,0.8,0,0.090587502,0.083695476,0,0.015808476,0.086750119
retinal_image_0029.jpg,strict,0,No Narrowing,0.8,0,0.103641358,0.11326878,0,0.017204184,0.032662509
